time,GovtDebttoGDP,GDPPerCapita,RRDC,GOVTEFFECTIVENESS,PoliticalStability,VOICEANDACCOUNTABILITY,RegulatoryQuality,RuleofLaw,ControlofCorruption,GDPGROWTHANNUALRATE,UnemploymentRate,InflationRate,InterestRate,status
3401,28,689.69,0,-0.18,-1.05,-1.07,-0.52,-0.72,-0.86,5.4,13.2,9.1,6.25,1
3650,86.1,1250.03,1,,1,1.22,,,,5.3,13.6,6.2,10,0
2174,44.2,1043.97,0,0.21,-0.54,-1.76,0.03,0.25,0.06,6,13.4,-0.3,4.5,1
1000,,,,,,,,,,4.3,4.2,-0.4,12.4,1
3650,37.65,497.89,1,0.43,0.69,0.06,-0.09,0.19,0.89,-21.5,3.3,9.96,10.5,0
3650,,,0,0.97,0.92,0.95,0.62,0.95,0.73,,,,,0
1385,76,3637,0,1.18,0.29,1.02,0.79,0.9,0.49,4.1,4.6,3.4,7,1
3650,,14813.11,0,0.01,-0.03,-0.37,-0.05,0.07,-0.37,,,,,0
3650,,,0,0.11,0.67,0.99,0.17,0.35,0.27,,,,,0
3650,79,1722.72,1,0.02,0.86,1.21,0.26,0.59,0.62,4.9,19.5,29.49,14.2,0
3650,39.61,9279,1,-1.48,-2.17,-1.82,-1.5,-1.18,-1.5,-2.1,8.9,77,12.5,0
3650,9.04,3068.22,0,-0.36,0.21,0.45,-0.66,-0.25,-0.57,1.7,6.7,8.3,7,0
3650,30.01,1700.39,1,2.01,1.31,1.58,1.76,1.97,2.17,-2.3,14.9,44.5,,0
3650,35.9,917.08,0,1.41,0.84,0.89,1.35,1.17,0.8,6.9,2.3,6.1,11,0
3343,39.9,842.44,1,-0.82,-0.87,-1.51,-1.01,-1.01,-1,7.9,10.3,4.8,12,1
3650,25.6,554.78,1,-1.05,-0.22,0.15,-0.97,-1.18,-0.69,5.5,6.9,-1.1,4.5,0
3650,47.5,4234,,0.24,0.27,0.49,0.15,-0.14,-0.54,1.3,15.5,4,4.25,0
3650,34.4,673.21,0,-0.97,1.41,1.1,-0.72,0.34,-0.01,3.91,3.8,4.6,12,0
3650,,,0,-0.68,-0.42,-1.9,-1.69,-1.07,-1.16,,,,,0
665,50.5,1684.87,1,-1.22,-1.01,-1.12,-1.86,-1.99,-1.33,6.4,2.06,4.5,6.5,1
3650,49.95,1096.97,1,-0.5,-2.13,-0.94,0.13,-0.56,-0.7,-28.1,29,9.49,15,0
3176,31,1625.15,1,-1.64,-2.63,-1.49,-1.1,-1.24,-1.45,5,13.3,8.8,15.5,1
